,country,capital,area,population,name_length
BR,Brazil,Brasilia,8.516,200.4,6
RU,Russia,Moscow,17.1,143.5,6
IN,India,New Delhi,3.286,1252.0,5
CH,China,Beijing,9.597,1357.0,5
SA,South Africa,Pretoria,1.221,52.98,12
